10 Slot Bag;Сумка на 10 ячеек;Tasche mit 10 Plätzen;Bolsa de 10 ranuras;Bolsa de 10 casilleros;Sac à 10 emplacements;Borsa da 10 scomparti;10칸 가방;Torba z 10 miejscami;Bolsa com 10 divisões;10格包;10格背包
Mar Sara Bar Briefing TV (Portrait 3);Бар Мар-Сары - вступление к заданию - TV (портрет 3);Mar Sara - Bar, Besprechung - TV (Porträt 3);Informe de TV del bar de Mar Sara (retrato 3);Mar Sara - Bar - Instrucciones - Televisor (Retrato 3);Bar de Mar Sara Briefing TV (Portrait 3);Bar Mar Sara - briefing TV (Ritratto 3);마 사라 주점 요약 보고 TV (초상화 3);Bar na Mar Sarze – odprawa – TV (portret 3);Mar Sara - Bar - Instruções - TV (retrato 3);玛·萨拉酒吧 简讯 TV (头像 3);瑪而‧薩拉酒吧 - 簡報 - 電視（頭像3）
Mar Sara Bar Briefing TV (Portrait 4);Бар Мар-Сары - вступление к заданию - TV (портрет 4);Mar Sara - Bar, Besprechung - TV (Porträt 4);Informe de TV del bar de Mar Sara (retrato 4);Mar Sara - Bar - Instrucciones - Televisor (Retrato 4);TV briefing, bar de Mar Sara (Portrait 4);Bar Mar Sara - briefing TV (Ritratto 4);마 사라 주점 요약 보고 TV (초상화 4);Bar na Mar Sarze – odprawa – TV (portret 4);Mar Sara - Bar - Instruções - TV (retrato 4);玛·萨拉酒吧 简讯 TV (头像 4);瑪而‧薩拉酒吧 - 簡報 - 電視（頭像4）
Mar Sara Bar Briefing TV (Portrait 5);Бар Мар-Сары - вступление к заданию - TV (портрет 5);Mar Sara - Bar, Besprechung - TV (Porträt 5);Informe de TV del bar de Mar Sara (retrato 5);Mar Sara - Bar - Instrucciones - Televisor (Retrato 5);Bar de Mar Sara Briefing TV (Portrait 5);Bar Mar Sara - briefing TV (Ritratto 5);마 사라 주점 요약 보고 TV (초상화 5);Bar na Mar Sarze – odprawa – TV (portret 5);Mar Sara - Bar - Instruções - TV (retrato 5);玛·萨拉酒吧 简讯 TV (头像 5);瑪而‧薩拉酒吧 - 簡報 - 電視（頭像5）
Mar Sara Bar Bulletin Board Background;Бар Мар-Сары - доска объявлений - фон;Mar Sara - Bar, Pinnwand - Hintergrund;Fondo del corcho informativo del bar de Mar Sara;Mar Sara - Bar - Tablero de anuncios - Fondo;Arrière-plan du tableau d’affichage du bar de Mar Sara;Bar Mar Sara - sfondo bacheca;마 사라 주점 게시판 배경;Bar na Mar Sarze – tablica ogłoszeniowa – tło;Mar Sara - Bar - Comunicado - Painel - Cenário;玛·萨拉酒吧 告示板背景;瑪而‧薩拉酒吧 - 告示板 - 背景
Mar Sara Bar Bulletin Board Hot Spot;Бар Мар-Сары - доска объявлений - активная область;Mar Sara - Bar, Pinnwand - Hotspot;Punto destacado del corcho informativo del bar de Mar Sara;Mar Sara - Bar - Tablero de anuncios - Punto activo;Point sensible Tableau d’affichage Bar de Mar Sara;Bar Mar Sara - punto chiave bacheca;마 사라 주점 게시판 활성화 지점;Bar na Mar Sarze – tablica ogłoszeniowa – hotspot;Mar Sara - Bar - Comunicado - Painel - Ponto de interesse;玛·萨拉酒吧 告示板热点;瑪而‧薩拉酒吧 - 告示板 - 點選區
Mar Sara Bar Bulletin Board Item 1 Hot Spot;Бар Мар-Сары - доска объявлений - объект 1 активная область;Mar Sara - Bar, Pinnwand - Gegenstand 1, Hotspot;Punto destacado del objeto 1 del corcho informativo del bar de Mar Sara;Mar Sara - Bar - Tablero de anuncios - Elemento 1 - Punto activo;Point sensible Objet 1 Tableau d’affichage Bar de Mar Sara;Bar Mar Sara - punto chiave bacheca oggetto 1;마 사라 주점 게시판 아이템 1 활성화 지점;Bar na Mar Sarze – tablica ogłoszeniowa – element 1 – hotspot;Mar Sara - Bar - Comunicado - Painel - Item 1 - Ponto de interesse;玛·萨拉酒吧 告示板第1项 热点;瑪而‧薩拉酒吧 - 告示板 - 物品1點選區
Mar Sara Bar Bulletin Board Item 2 Hot Spot;Бар Мар-Сары - доска объявлений - объект 2 активная область;Mar Sara - Bar, Pinnwand - Gegenstand 2, Hotspot;Punto destacado del objeto 2 del corcho informativo del bar de Mar Sara;Mar Sara - Bar - Tablero de anuncios - Elemento 2 - Punto activo;Point sensible Objet 2 Tableau d’affichage Bar de Mar Sara;Bar Mar Sara - punto chiave bacheca oggetto 2;마 사라 주점 게시판 아이템 2 활성화 지점;Bar na Mar Sarze – tablica ogłoszeniowa – element 2 – hotspot;Mar Sara - Bar - Comunicado - Painel - Item 2 - Ponto de interesse;玛·萨拉酒吧 告示板第2项 热点;瑪而‧薩拉酒吧 - 告示板 - 物品2點選區
Mar Sara Bar Bulletin Board Item 3 Hot Spot;Бар Мар-Сары - доска объявлений - объект 3 активная область;Mar Sara - Bar, Pinnwand - Gegenstand 3, Hotspot;Punto destacado del objeto 3 del corcho informativo del bar de Mar Sara;Mar Sara - Bar - Tablero de anuncios - Elemento 3 - Punto activo;Point sensible Objet 3 Tableau d’affichage Bar de Mar Sara;Bar Mar Sara - punto chiave bacheca oggetto 3;마 사라 주점 게시판 아이템 3 활성화 지점;Bar na Mar Sarze – tablica ogłoszeniowa – element 3 – hotspot;Mar Sara - Bar - Comunicado - Painel - Item 3 - Ponto de interesse;玛·萨拉酒吧 告示板第3项 热点;瑪而‧薩拉酒吧 - 告示板 - 物品3點選區
Mar Sara Bar Bulletin Board Item 4 Hot Spot;Бар Мар-Сары - доска объявлений - объект 4 активная область;Mar Sara - Bar, Pinnwand - Gegenstand 4, Hotspot;Punto destacado del objeto 4 del corcho informativo del bar de Mar Sara;Mar Sara - Bar - Tablero de anuncios - Elemento 4 - Punto activo;Point sensible Objet 4 Tableau d’affichage Bar de Mar Sara;Bar Mar Sara - punto chiave bacheca oggetto 4;마 사라 주점 게시판 아이템 4 활성화 지점;Bar na Mar Sarze – tablica ogłoszeniowa – element 4 – hotspot;Mar Sara - Bar - Comunicado - Painel - Item 4 - Ponto de interesse;玛·萨拉酒吧 告示板第4项 热点;瑪而‧薩拉酒吧 - 告示板 - 物品4點選區
Mar Sara Bar Bulletin Board Item 5 Hot Spot;Бар Мар-Сары - доска объявлений - объект 5 активная область;Mar Sara - Bar, Pinnwand - Gegenstand 5, Hotspot;Punto destacado del objeto 5 del corcho informativo del bar de Mar Sara;Mar Sara - Bar - Tablero de anuncios - Elemento 5 - Punto activo;Point sensible Objet 5 Tableau d’affichage Bar de Mar Sara;Bar Mar Sara - punto chiave bacheca oggetto 5;마 사라 주점 게시판 아이템 5 활성화 지점;Bar na Mar Sarze – tablica ogłoszeniowa – element 5 – hotspot;Mar Sara - Bar - Comunicado - Painel - Item 5 - Ponto de interesse;玛·萨拉酒吧 告示板第5项 热点;瑪而‧薩拉酒吧 - 告示板 - 物品5點選區
Mar Sara Bar Bulletin Board Item 6 Hot Spot;Бар Мар-Сары - доска объявлений - объект 6 активная область;Mar Sara - Bar, Pinnwand - Gegenstand 6, Hotspot;Punto destacado del objeto 6 del corcho informativo del bar de Mar Sara;Mar Sara - Bar - Tablero de anuncios - Elemento 6 - Punto activo;Point sensible Objet 6 Panneau d’affichage Bar de Mar Sara;Bar Mar Sara - punto chiave bacheca oggetto 6;마 사라 주점 게시판 아이템 6 활성화 지점;Bar na Mar Sarze – tablica ogłoszeniowa – element 6 – hotspot;Mar Sara - Bar - Comunicado - Painel - Item 6 - Ponto de interesse;玛·萨拉酒吧 告示板第6项 热点;瑪而‧薩拉酒吧 - 告示板 - 物品6點選區
Mar Sara Bar Bulletin Board Item 7 Hot Spot;Бар Мар-Сары - доска объявлений - объект 7 активная область;Mar Sara - Bar, Pinnwand - Gegenstand 7, Hotspot;Punto destacado del objeto 7 del corcho informativo del bar de Mar Sara;Mar Sara - Bar - Tablero de anuncios - Elemento 7 - Punto activo;Point sensible Objet 7 Tableau d’affichage Bar de Mar Sara;Bar Mar Sara - punto chiave bacheca oggetto 7;마 사라 주점 게시판 아이템 7 활성화 지점;Bar na Mar Sarze – tablica ogłoszeniowa – element 7 – hotspot;Mar Sara - Bar - Comunicado - Painel - Item 7 - Ponto de interesse;玛·萨拉酒吧 告示板第7项 热点;瑪而‧薩拉酒吧 - 告示板 - 物品7點選區
Mar Sara Bar Bulletin Board Item 8 Hot Spot;Бар Мар-Сары - доска объявлений - объект 8 активная область;Mar Sara - Bar, Pinnwand - Gegenstand 8, Hotspot;Punto destacado del objeto 8 del corcho informativo del bar de Mar Sara;Mar Sara - Bar - Tablero de anuncios - Elemento 8 - Punto activo;Point sensible Objet 8 Panneau d’affichage Bar de Mar Sara;Bar Mar Sara - punto chiave bacheca oggetto 8;마 사라 주점 게시판 아이템 8 활성화 지점;Bar na Mar Sarze – tablica ogłoszeniowa – element 8 – hotspot;Mar Sara - Bar - Comunicado - Painel - Item 8 - Ponto de interesse;玛·萨拉酒吧 告示板第8项 热点;瑪而‧薩拉酒吧 - 告示板 - 物品8點選區
Mar Sara Bar Bulletin Board Item 9 Hot Spot;Бар Мар-Сары - доска объявлений - объект 9 активная область;Mar Sara - Bar, Pinnwand - Gegenstand 9, Hotspot;Punto destacado del objeto 9 del corcho informativo del bar de Mar Sara;Mar Sara -Bar - Tablero de anuncios - Elemento 9 - Punto activo;Point sensible Objet 9 Tableau d’affichage Bar de Mar Sara;Bar Mar Sara - punto chiave bacheca oggetto 9;마 사라 주점 게시판 아이템 9 활성화 지점;Bar na Mar Sarze – tablica ogłoszeniowa – element 9 – hotspot;Mar Sara - Bar - Comunicado - Painel - Item 9 - Ponto de interesse;玛·萨拉酒吧 告示板第9项 热点;瑪而‧薩拉酒吧 - 告示板 - 物品9點選區
Mar Sara Bar Hydralisk Skull Hot Spot;Бар Мар-Сары - череп гидралиска - активная область;Mar Sara - Bar, Hydraliskenschädel, Hotspot;Punto destacado de la calavera de hidralisco del bar de Mar Sara;Mar Sara - Bar - Calavera de Hidralisco - Punto activo;Point sensible Crâne hydralisk Bar de Mar Sara;Bar Mar Sara - punto chiave teschio Idralisca;마 사라 주점 히드라리스크 해골 활성화 지점;Bar na Mar Sarze – czaszka hydraliska – hotspot;Mar Sara - Bar - Hidralisca - Crânio - Ponto de interesse;玛·萨拉酒吧 刺蛇头骨热点;瑪而‧薩拉酒吧 - 刺蛇頭骨點選區
Mar Sara Bar Jukebox Hot Spot;Бар Мар-Сары - проигрыватель - активная область;Mar Sara - Bar, Jukebox - Hotspot;Punto destacado de la gramola del bar de Mar Sara;Mar Sara - Bar - Rocola - Punto activo;Point sensible Jukebox Bar de Mar Sara;Bar Mar Sara - punto chiave jukebox;마 사라 주점 주크박스 활성화 지점;Bar na Mar Sarze – szafa grająca – hotspot;Ponto de interesse da Jukebox do Bar de Mar Sara;玛·萨拉酒吧 点唱机 热点;瑪而‧薩拉酒吧 - 點唱機點擊區
Mar Sara Bar Kerrigan Photo Hot Spot;Бар Мар-Сары - фото Керриган - активная область;Mar Sara - Bar, Kerrigan-Foto - Hotspot;Bar de Mar Sara foto de Kerrigan punto destacado;Mar Sara - Bar - Foto de Kerrigan - Punto activo;Point sensible Photo Kerrigan Bar de Mar Sara;Bar Mar Sara - punto chiave foto Kerrigan;마 사라 주점 케리건 사진 활성화 지점;Bar na Mar Sarze – zdjęcie Kerrigan – hotspot;Mar Sara - Bar - Foto de Kerrigan - Ponto de interesse;玛·萨拉酒吧 凯瑞甘照片 热点;瑪而‧薩拉酒吧 - 凱莉根照片點選區
(T01) Mar Sara Bar Props;(T01) Бар Мар-Сары - декорации;(T01) Mar Sara - Bar, Eigenschaften<sp/>;(T01) Accesorios del bar de Mar Sara;(T01) Mar Sara - Bar - Utilería;(T01) Mar Sara Bar Accessoires;(T01) Bar Mar Sara - accessori;(테란 01) 마 사라 주점 속성<sp/>;(T01) Bar na Mar Sarze – rekwizyty;(T01) Mar Sara - Bar - Equipamentos;(T01) 玛·萨拉酒吧道具;(T01) 瑪而‧薩拉酒吧 - 屬性
Mar Sara Bar Set;Бар Мар-Сары - сцена;Mar Sara - Bar, Set;Escenario del bar de Mar Sara;Mar Sara - Bar - Escenario;Décor Bar de Mar Sara;Bar Mar Sara - set;마 사라 주점 모음;Bar na Mar Sarze – plan;Mar Sara - Bar - Definir;玛·萨拉酒吧设置;瑪而‧薩拉酒吧 - 設定
Mar Sara Bar Set 2;Мар-Сара - бар - сцена 2;Mar Sara - Bar, Set 2;Escenario del bar de Mar Sara 2;Mar Sara - Bar - Escenario 2;Décor Bar de Mar Sara 2;Bar Mar Sara - set 2;마 사라 주점 모음 2;Bar na Mar Sarze – plan 2;Mar Sara - Bar - Definir - Nível 2;玛·萨拉酒吧设置2;瑪而‧薩拉酒吧 - 設定2
Mar Sara Bar Starmap Hot Spot;Бар Мар-Сары - звездная карта - активная область;Mar Sara - Bar, Sternenkarte - Hotspot;Punto destacado del mapa estelar del bar de Mar Sara;Mar Sara - Bar - Mapa estelar - Punto activo;Point sensible Carte stellaire Bar de Mar Sara;Bar Mar Sara - punto chiave mappa stellare;마 사라 주점 우주 지도 활성화 지점;Bar na Mar Sarze – mapa gwiezdna – hotspot;Mar Sara - Bar - Mapa estelar - Ponto de interesse;玛·萨拉酒吧 星图 热点;瑪而‧薩拉酒吧 - 星圖點選區
Mar Sara Bar TV Hot Spot;Бар Мар-Сары ТВ активная область;Mar Sara - Bar, TV - Hotspot;Punto destacado de la TV del bar de Mar Sara;Mar Sara - Bar - Televisor - Punto activo;Point sensible TV Bar de Mar Sara;Bar Mar Sara - punto chiave TV;마 사라 주점 TV 활성화 지점;Bar na Mar Sarze – TV – hotspot;Mar Sara - Bar - TV - Ponto de interesse;玛·萨拉酒吧 TV 热点;瑪而‧薩拉酒吧 - 電視點選區
Mar Sara Bar Tychus Cameras;Бар Мар-Сары Тайкус Камеры;Mar Sara - Bar, Tychus - Kameras;Cámaras de Tychus en el bar de Mar Sara;Mar Sara - Bar - Tychus - Cámaras;Bar Mar Sara Tychus Caméras;Bar Mar Sara - cineprese Tychus;마 사라 주점 타이커스 카메라;Bar na Mar Sarze – kamery – Tychus;Câmeras do Tychus do Bar de Mar Sara;玛·萨拉酒吧 泰凯斯 镜头;瑪而‧薩拉酒吧 - 泰科斯鏡頭
Mar Sara Planet;Мар-Сара - планета;Mar Sara - Planet;Planeta Mar Sara;Mar Sara - Planeta;Planète Mar Sara;Mar Sara - pianeta;마 사라 행성;Mar Sara – planeta;Planeta Mar Sara;玛·萨拉星球;瑪而‧薩拉行星
SM Marauder PH Crate;SM Marauder PH Crate;SM Marodeur - PH Vorratskiste;MH cajón PH de persecutor;MH - Merodeador MP Caja;MS caisse maraudeur;MS - Cassa Devastatore provvisoria;이야기 모드 불곰 임시 상자;Skrzynia PH - SM Zbrojownia Maruder;ME - Caixa PH de Demolidor;SM 劫掠者 PH 箱;SM - 掠奪者 - 佔位箱
Marine 03;Морпех 03;Space-Marine 03;Soldado 3;Marine 03;Marine 03;Marine 03;해병 03;Marine 03;Soldado 03;陆战队员03;陸戰隊03
Marine 04;Морпех 04;Space-Marine 04;Soldado 4;Marine 04;Marine 04;Marine 04;해병 04;Marine 04;Soldado 04;陆战队员04;陸戰隊04
Marine Rifle;Пулемет морпеха;Space-Marine-Gewehr;Fusil de soldado;Marine - Rifle;Fusil de marine;Fucile Marine;해병 소총;Karabin marine;Rifle do Soldado;陆战队员步枪;陸戰隊的步槍
TV - Mike Liberty;ТВ - Майк Либерти;TV - Mike Liberty;TV - Mike Liberty;Televisor - Mike Liberty;TV - Mike Liberty;TV - Mike Liberty;TV - 마이크 리버티;TV – Mike Liberty;TV - Mike Liberty;TV — 迈克·利博缔;電視 - 麥可‧里布提
Press Room Props;Пресс-конференция - декорации<sp/>;Presseraum - Eigenschaften<sp/>;Accesorios de sala de prensa;Sala de prensa - Utilería;Accessoires de la salle de presse;Sala stampa - accessori;기자실 속성;Sala konferencyjna – rekwizyty;Acessórios da sala de imprensa;新闻中心 道具;採訪室 - 屬性
(T01) Raynor Gun;(T01) Пистолет Рейнора;(T01) Raynors Knarre;(T01) Pistola de Raynor;(T01) Raynor - Arma;Fusil de Raynor (T01);(T01) Raynor - arma;(테란 01) 레이너 총;(T01) Działo Raynora;(T01) Raynor - Arma;(T01) 雷诺枪;(T01)雷諾槍
(T01) Raynor Hands;(T01) Руки Рейнора;(T01) Raynors Hände;(T01) Manos de Raynor;(T01) Raynor - Manos;Mains de Raynor (T01);(T01) Raynor - mani;(테란 01) 레이너 손;(T01) Dłonie Raynora;(T01) Raynor - Mãos;(T01) 雷诺手;(T01)雷諾手
TV - TV Static;ТВ - помехи;TV - Statisches Rauschen;TV - Interferencias de TV;Televisor - Estática del televisor;TV - Neige;TV - statica TV;TV - TV 전하;TV – szum;TV - Estática da TV;TV — TV 静态;電視 - 電視雜訊
